pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
GBP_USD,long,50809,1.22437,2022-08-01 11:00:00+00:00,1.2254735714285714,2022-08-01 17:00:00+00:00,sl,106.45,0.67,7,True
USD_JPY,short,31243,133.0855,2022-08-04 17:00:00+00:00,133.08,2022-08-05 01:00:00+00:00,sl,1.29,0.01,9,False
AUD_USD,short,45618,0.69151,2022-08-05 15:00:00+00:00,0.69146,2022-08-05 16:00:00+00:00,sl,2.28,0.01,2,False
GBP_USD,short,29575,1.20437,2022-08-17 15:00:00+00:00,1.20433,2022-08-18 08:00:00+00:00,sl,1.18,0.01,18,False
AUD_USD,short,46980,0.6938300000000001,2022-08-26 15:00:00+00:00,0.6870514285714285,2022-08-28 23:00:00+00:00,tp,238.26,1.49,7,True
AUD_USD,short,39166,0.68672,2022-08-30 15:00:00+00:00,0.68667,2022-08-31 13:00:00+00:00,sl,1.96,0.01,23,False
USD_CHF,long,49033,0.983415,2022-09-06 13:00:00+00:00,0.98344,2022-09-06 15:00:00+00:00,sl,1.25,0.01,3,False
USD_JPY,long,53761,143.7435,2022-09-20 14:00:00+00:00,143.749,2022-09-21 06:00:00+00:00,sl,2.06,0.01,17,False
GBP_USD,short,29386,1.1365800000000001,2022-09-20 18:00:00+00:00,1.13398,2022-09-21 07:00:00+00:00,sl,119.98,0.73,14,True
USD_CHF,long,15995,0.976935,2022-09-22 10:00:00+00:00,0.9769599999999999,2022-09-22 12:00:00+00:00,sl,0.41,0.0,3,False
GBP_USD,short,29823,1.11332,2022-09-23 10:00:00+00:00,1.1021257142857144,2022-09-23 10:00:00+00:00,tp,249.94,1.49,1,True
GBP_USD,short,24226,1.10256,2022-09-23 11:00:00+00:00,1.0883285714285713,2022-09-23 16:00:00+00:00,tp,258.21,1.49,6,True
USD_JPY,long,67622,145.0355,2022-10-03 08:00:00+00:00,144.6427142857143,2022-10-03 14:00:00+00:00,sl,-183.63,-1.01,7,False
USD_CHF,long,26889,0.9865050000000001,2022-09-30 19:00:00+00:00,0.9916428571428572,2022-10-04 03:00:00+00:00,sl,157.06,0.88,33,True
USD_CHF,long,44809,0.989315,2022-10-06 15:00:00+00:00,0.98934,2022-10-06 17:00:00+00:00,sl,1.13,0.01,3,False
USD_JPY,long,63919,144.7425,2022-10-05 16:00:00+00:00,144.748,2022-10-07 08:00:00+00:00,sl,2.43,0.01,41,False
AUD_USD,short,33983,0.62173,2022-10-13 15:00:00+00:00,0.627,2022-10-13 15:00:00+00:00,sl,-179.09,-1.01,1,False
USD_CHF,long,59888,1.003135,2022-10-19 11:00:00+00:00,1.0046178571428572,2022-10-20 04:00:00+00:00,sl,130.24,0.74,18,True
GBP_USD,long,22823,1.13232,2022-10-20 15:00:00+00:00,1.1245042857142857,2022-10-20 16:00:00+00:00,sl,-178.38,-1.01,2,False
EUR_USD,long,37391,0.9845,2022-10-20 15:00:00+00:00,0.9796742857142857,2022-10-20 17:00:00+00:00,sl,-180.44,-1.01,3,False
GBP_USD,long,11017,1.12906,2022-10-21 16:00:00+00:00,1.1291,2022-10-24 11:00:00+00:00,sl,0.44,0.0,20,False
USD_JPY,short,53009,147.7985,2022-11-01 07:00:00+00:00,147.9305,2022-11-01 08:00:00+00:00,sl,-47.3,-0.28,2,False
USD_CHF,long,20965,1.0005950000000001,2022-11-01 17:00:00+00:00,0.9925035714285715,2022-11-02 18:00:00+00:00,sl,-170.92,-1.02,26,False
USD_CHF,short,32055,0.976065,2022-11-10 14:00:00+00:00,0.9661314285714286,2022-11-10 15:00:00+00:00,tp,246.15,1.5,2,True
